FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,FromType,ToType
651,2343,0.6116102298,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
691,2343,0.6116102298,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2363,2343,0.6073332352,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2372,2343,0.6116102298,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
47,2343,0.6030562406,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1513,2343,-0.5945022513,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2356,2343,0.5945022513,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2354,2343,0.5945022513,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2349,2343,0.5859482621,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1193,2343,-0.5816712675,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1081,2343,-0.5816712675,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2373,2343,0.5773942729,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
939,2343,0.5773942729,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2374,2343,0.5731172783,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2362,2343,-0.5731172783,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2280,2343,0.5602862944,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2348,2343,-0.5560092998,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1103,2343,-0.5560092998,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2364,2343,-0.5517323052,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2037,2343,0.5474553106,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2375,2343,0.5688669666,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1826,2343,-0.5389013213,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1805,2343,-0.5346243267,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1371,2343,-0.5346243267,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1825,2343,-0.5303473321,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2358,2343,-0.5303473321,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2319,2343,0.5453679759,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
226,2343,0.5260703375,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2192,2343,-0.5217933429,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2361,2343,-0.5175163483,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1792,2343,-0.5132393537,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2376,2343,0.5132393537,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
943,2343,-0.5132393537,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2377,2343,-0.5004083698,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2274,2343,-0.5004083698,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2378,2343,0.4961313752,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2346,2343,-0.4961313752,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2379,2343,0.4918543806,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2380,2343,0.4918543806,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1104,2343,-0.5068714129,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2381,2343,0.487577386,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2030,2343,0.487577386,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2365,2343,-0.487577386,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
840,2343,0.4833003914,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2382,2343,-0.4833003914,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1490,2343,-0.4833003914,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1481,2343,0.4790233968,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2383,2343,-0.4747464021,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2384,2343,-0.4747464021,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
663,2343,0.4704694075,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2202,2343,-0.4661924129,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
223,2343,-0.4661924129,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2281,2343,0.4661924129,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2385,2343,-0.4662142809,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2386,2343,0.4533614291,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1082,2343,-0.4533614291,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
177,2343,-0.4620888425,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2387,2343,-0.4490844345,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1563,2343,-0.4490844345,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
657,2343,0.4490844345,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1352,2343,0.4577243087,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2388,2343,-0.4448074398,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
230,2343,-0.4448074398,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2389,2343,0.4405304452,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2390,2343,0.431976456,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2391,2343,-0.431976456,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2392,2343,-0.431976456,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2350,2343,0.4384125118,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2289,2343,-0.4276994614,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
42,2343,-0.4276994614,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2322,2343,-0.4276994614,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2393,2343,0.431996719,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
228,2343,0.4234224668,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2345,2343,0.4191454722,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
11,2343,-0.4191454722,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1351,2343,-0.4170265357,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2394,2343,-0.4105914829,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2395,2343,-0.414887938,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
86,2343,-0.4063144883,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2396,2343,0.4063144883,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
661,2343,0.3934835045,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1502,2343,0.3956405595,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1824,2343,-0.3892065099,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2397,2343,0.3892065099,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1185,2343,0.3849295152,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2398,2343,-0.3849295152,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1533,2343,0.3849295152,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2344,2343,0.3849295152,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2399,2343,0.3849295152,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
859,2343,0.3892247666,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
241,2343,0.387086169,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1710,2343,0.3806525206,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2204,2343,-0.376375526,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
179,2343,0.376375526,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
17,2343,-0.3720985314,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2400,2343,-0.3678215368,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2351,2343,-0.3678215368,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1201,2343,-0.3635445422,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
21,2343,-0.3635445422,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2401,2343,-0.3678387904,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2292,2343,0.3635445422,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2059,2343,-0.3635445422,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2402,2343,-0.3592675476,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2135,2343,-0.3592675476,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2324,2343,-0.3592675476,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2403,2343,0.3549905529,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2102,2343,-0.3507135583,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1334,2343,-0.3464365637,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2404,2343,-0.3464365637,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2278,2343,-0.3464528142,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2305,2343,-0.3421595691,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1337,2343,-0.3421595691,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
1797,2343,-0.3421595691,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
172,2343,0.3378825745,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2405,2343,0.3293285853,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
2406,2343,-0.3293285853,wilcox_effsize,hWAT,D14,LipocyteProfiler_Feature,Gene
