FromID,ToID,Relation_value,Relation_type
6795,6983,1.66,VEP
6984,6983,1.66,VEP
6737,6983,1.66,VEP
6745,6983,1.66,VEP
6747,6983,1.66,VEP
6795,6985,1.36,VEP
6984,6985,1.36,VEP
6737,6985,1.36,VEP
6745,6985,1.36,VEP
6747,6985,1.36,VEP
6696,6986,1.32,VEP
6987,6986,1.32,VEP
1514,6986,1.32,VEP
6988,6986,1.32,VEP
6989,6986,1.32,VEP
6990,6991,1.34,VEP
6992,6991,1.34,VEP
6776,6991,1.34,VEP
6993,6991,1.34,VEP
6994,6995,0.13,VEP
1515,6996,0.2,VEP
6622,6997,0.024,VEP
6998,6999,2.46,VEP
3410,7002,1.35,VEP
6607,7002,1.35,VEP
6640,7003,0.28,VEP
6990,7004,1.64,VEP
7005,7006,1.39,VEP
6919,7007,2.36,VEP
7008,7009,3.32,VEP
7010,7011,0.16,VEP
7012,7013,0.13,VEP
7014,7015,0.26,VEP
7016,7017,1.11,VEP
6698,7018,1.12,VEP
6827,6828,1.15,VEP
6622,7019,34.43,VEP
6622,7020,5.61,VEP
6622,7021,34.08,VEP
683,7022,34.03,VEP
6852,7022,34.03,VEP
7023,7022,34.03,VEP
6622,7024,0.025,VEP
6622,7024,0.0266,VEP
6950,7027,0.204,VEP
6950,7027,0.577,VEP
6950,7027,0.328,VEP
6950,7027,0.479,VEP
6795,7028,3.02,VEP
6984,7028,3.02,VEP
6745,7029,2.97,VEP
6747,7029,2.97,VEP
7051,7052,1.2627857,VEP
7053,7054,4.8,VEP
7055,7056,1.1494,VEP
1316,7057,1.5,VEP
6640,7058,3.27,VEP
6640,7059,4.6,VEP
6640,7060,2.49,VEP
6640,7061,2.88,VEP
6640,7062,4.84,VEP
6640,7063,2.44,VEP
6640,7064,2.5,VEP
6622,7065,8.82,VEP
6622,7066,0.75,VEP
7067,7068,0.19,VEP
7069,7070,0.24,VEP
6748,7071,1.15,VEP
6747,7071,1.15,VEP
7072,7073,1.1,VEP
6772,7074,1.14,VEP
6706,7074,1.14,VEP
6672,7074,1.14,VEP
6867,7074,1.14,VEP
6590,6591,0.0756,VEP
6607,7075,0.0315,VEP
6588,7076,0.0308,VEP
6698,7077,0.0374,VEP
7078,7079,0.0316,VEP
7080,7081,1.46,VEP
7082,7081,1.46,VEP
7083,7081,1.46,VEP
7084,7081,1.46,VEP
7085,7081,1.46,VEP
7086,7081,1.46,VEP
7087,7081,1.46,VEP
7088,7081,1.46,VEP
7089,7081,1.46,VEP
3814,7081,1.46,VEP
7090,7081,1.46,VEP
7091,7081,1.46,VEP
7092,7081,1.46,VEP
7093,7081,1.46,VEP
7094,7081,1.46,VEP
7095,7081,1.46,VEP
7096,7081,1.46,VEP
7097,7098,0.04,VEP
6707,7099,2.17,VEP
7102,7103,1.23,VEP
6795,7104,1.7,VEP
6640,7104,1.62,VEP
6957,7105,1.21,VEP
7106,7105,1.21,VEP
6704,7107,1.78,VEP
7108,7109,0.0419,VEP
7108,7109,0.0539,VEP
6900,7110,1.89,VEP
6902,7111,1.27,VEP
7108,7112,1.26,VEP
6706,7113,1.17,VEP
39,7114,1.14,VEP
6748,7115,1.28,VEP
7116,7117,2.0,VEP
7118,7119,1.45,VEP
7120,7121,1.52,VEP
6706,7122,1.47,VEP
7123,7124,1.12,VEP
7125,7126,0.08,VEP
6640,7127,0.08,VEP
6640,7128,0.09,VEP
6640,7003,0.29,VEP
6640,7129,1.9,VEP
6640,7129,1.87,VEP
6640,7130,0.27,VEP
7131,7132,2.47,VEP
6622,7133,1.93,VEP
6622,7133,2.71,VEP
7134,7135,3.5,VEP
6640,7136,0.118,VEP
6640,7137,0.052,VEP
7138,7139,5.03,VEP
6640,7140,0.046,VEP
6640,7141,0.055,VEP
6925,7142,0.059,VEP
6640,7143,0.062,VEP
6640,7144,0.082,VEP
6640,7145,1.03,VEP
6640,7145,1.02,VEP
6640,7145,0.96,VEP
6640,7145,0.94,VEP
6957,7146,1.18,VEP
7106,7146,1.18,VEP
7147,7148,1.09,VEP
7149,7148,1.09,VEP
6707,7150,1.25,VEP
6707,7150,1.24,VEP
6640,7145,0.92,VEP
6945,7151,1.56,VEP
6754,7152,1.63,VEP
6846,7154,0.51,VEP
7155,7154,0.51,VEP
6676,7156,0.85,VEP
6676,7156,0.56,VEP
7157,7158,1.02,VEP
7157,7158,0.74,VEP
6902,7159,0.51,VEP
6795,7159,0.51,VEP
6737,7159,0.51,VEP
7147,7160,2.2,VEP
6672,7161,1.32,VEP
6640,7162,1.22,VEP
7163,7104,1.64,VEP
7164,7104,1.64,VEP
7165,7166,0.032,VEP
6622,7167,1.09,VEP
7168,7169,1.18,VEP
3410,7170,0.83,VEP
6754,7171,1.22,VEP
6754,7172,0.79,VEP
7173,7174,0.55,VEP
7181,7182,0.0099,VEP
6622,7183,0.324,VEP
7185,7186,0.03,VEP
7187,7186,0.03,VEP
7188,7189,0.04,VEP
7190,7189,0.04,VEP
7191,7192,0.03,VEP
7193,7194,0.06,VEP
7195,7194,0.06,VEP
7193,7196,0.04,VEP
7195,7196,0.04,VEP
7193,7197,0.04,VEP
7195,7197,0.04,VEP
7193,7198,0.03,VEP
7199,7198,0.03,VEP
7200,7201,0.08,VEP
7200,7202,0.12,VEP
6574,7203,0.03,VEP
6908,7203,0.03,VEP
7204,7205,0.04,VEP
354,7206,0.03,VEP
6504,7207,0.04,VEP
7208,7209,0.04,VEP
243,7209,0.04,VEP
6756,6757,0.04,VEP
7210,7211,0.03,VEP
7212,7211,0.03,VEP
6590,7213,0.04,VEP
7214,7215,0.05,VEP
7216,7215,0.05,VEP
7214,7217,0.04,VEP
7218,7217,0.04,VEP
7237,7238,0.125,VEP
7181,7238,0.125,VEP
7239,7238,0.125,VEP
7237,7240,0.085,VEP
7181,7240,0.085,VEP
7237,7240,0.096,VEP
7181,7240,0.096,VEP
6570,7241,0.051,VEP
7242,7243,0.092,VEP
7237,7244,0.088,VEP
7181,7244,0.088,VEP
6952,7244,0.088,VEP
7237,7240,0.086,VEP
7181,7240,0.086,VEP
7237,7245,0.086,VEP
7181,7245,0.086,VEP
6904,7246,0.089,VEP
6959,7247,0.171,VEP
7248,7247,0.171,VEP
7249,7250,0.175,VEP
6622,7251,7.73,VEP
7252,7253,34.08,VEP
7254,7253,34.08,VEP
7255,7253,34.08,VEP
6184,7256,2.7,VEP
7257,7256,2.7,VEP
7258,7256,2.7,VEP
7259,7260,9.56,VEP
7261,7260,9.56,VEP
6622,7262,3.06,VEP
7263,7264,34.08,VEP
7265,7264,34.08,VEP
7266,7267,34.08,VEP
7268,7267,34.08,VEP
6968,7269,4.2,VEP
7270,7271,2.193,VEP
6748,7272,0.28,VEP
6745,7272,0.28,VEP
7273,7274,0.28,VEP
7275,7274,0.28,VEP
7149,7294,24.95,VEP
1316,7295,20.29,VEP
6582,7295,20.29,VEP
7296,7295,20.29,VEP
6580,7297,0.052,VEP
6580,7297,0.0431,VEP
6676,7298,0.0517,VEP
6676,7298,0.0308,VEP
6676,7298,0.0425,VEP
