FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
103,10,0.249042437284683,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
104,18,0.209817301333912,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
105,10,-0.497812865594039,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
106,107,-0.587196785519808,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
108,10,0.241258798429781,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
109,18,-0.184713197461093,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
110,34,-0.491578924377992,lm_estimate,AMSC-BODIPYNeg,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
111,10,-0.200369289874464,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
112,113,0.360731198525996,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
114,115,0.224967110537916,lm_estimate,AMSC-BODIPYPos,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
116,34,-0.496380002340103,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
117,43,0.367457470292968,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
118,10,0.438589619469495,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
119,34,-0.497209942818028,lm_estimate,AMSC,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
120,71,0.309874218204108,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
121,14,0.229950603366388,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
122,113,-0.24841600954208,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
123,43,-0.317440932679024,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
124,57,-0.267330136398611,lm_estimate,AMSC,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
