FromID,ToID,Relation_type,Relation_Context_ClinicalPhase,FromType,ToType
2812,28598,MoA,Phase 3,Gene,Chemical_Compound
15745,28598,MoA,Phase 3,Gene,Chemical_Compound
7927,28598,MoA,Phase 3,Gene,Chemical_Compound
11980,28598,MoA,Phase 3,Gene,Chemical_Compound
11680,28598,MoA,Phase 3,Gene,Chemical_Compound
11512,28598,MoA,Phase 3,Gene,Chemical_Compound
28347,28598,MoA,Phase 3,Gene,Chemical_Compound
9072,28598,MoA,Phase 3,Gene,Chemical_Compound
11176,28598,MoA,Phase 3,Gene,Chemical_Compound
12212,28598,MoA,Phase 3,Gene,Chemical_Compound
25690,28598,MoA,Phase 3,Gene,Chemical_Compound
5144,28598,MoA,Phase 3,Gene,Chemical_Compound
28601,28598,MoA,Phase 3,Gene,Chemical_Compound
9219,28598,MoA,Phase 3,Gene,Chemical_Compound
5480,28598,MoA,Phase 3,Gene,Chemical_Compound
15107,28598,MoA,Phase 3,Gene,Chemical_Compound
6708,28598,MoA,Phase 3,Gene,Chemical_Compound
26195,28598,MoA,Phase 3,Gene,Chemical_Compound
13683,28598,MoA,Phase 3,Gene,Chemical_Compound
10405,28598,MoA,Phase 3,Gene,Chemical_Compound
10512,28598,MoA,Phase 3,Gene,Chemical_Compound
2949,28598,MoA,Phase 3,Gene,Chemical_Compound
28333,28598,MoA,Phase 3,Gene,Chemical_Compound
5605,28598,MoA,Phase 3,Gene,Chemical_Compound
14109,28653,MoA,Launched,Gene,Chemical_Compound
28064,28666,MoA,Launched,Gene,Chemical_Compound
11461,28682,MoA,Launched,Gene,Chemical_Compound
13680,28855,MoA,Phase 2/Phase 3,Gene,Chemical_Compound
12630,28855,MoA,Phase 2/Phase 3,Gene,Chemical_Compound
9594,28855,MoA,Phase 2/Phase 3,Gene,Chemical_Compound
6579,28855,MoA,Phase 2/Phase 3,Gene,Chemical_Compound
14441,28855,MoA,Phase 2/Phase 3,Gene,Chemical_Compound
4614,28855,MoA,Phase 2/Phase 3,Gene,Chemical_Compound
3513,28855,MoA,Phase 2/Phase 3,Gene,Chemical_Compound
28856,28855,MoA,Phase 2/Phase 3,Gene,Chemical_Compound
25518,28862,MoA,Preclinical,Gene,Chemical_Compound
25519,28862,MoA,Preclinical,Gene,Chemical_Compound
25520,28862,MoA,Preclinical,Gene,Chemical_Compound
25983,28862,MoA,Preclinical,Gene,Chemical_Compound
25525,28862,MoA,Preclinical,Gene,Chemical_Compound
25526,28862,MoA,Preclinical,Gene,Chemical_Compound
15875,28882,MoA,Phase 1,Gene,Chemical_Compound
3818,28882,MoA,Phase 1,Gene,Chemical_Compound
6054,28989,MoA,Phase 3,Gene,Chemical_Compound
7829,29047,MoA,Preclinical,Gene,Chemical_Compound
2942,29114,MoA,Phase 2,Gene,Chemical_Compound
7555,29176,MoA,Phase 3,Gene,Chemical_Compound
25647,29176,MoA,Phase 3,Gene,Chemical_Compound
26652,29176,MoA,Phase 3,Gene,Chemical_Compound
26653,29176,MoA,Phase 3,Gene,Chemical_Compound
28333,29398,MoA,Phase 2,Gene,Chemical_Compound
28706,29398,MoA,Phase 2,Gene,Chemical_Compound
6757,29398,MoA,Phase 2,Gene,Chemical_Compound
5037,29398,MoA,Phase 2,Gene,Chemical_Compound
6859,29482,MoA,Preclinical,Gene,Chemical_Compound
4229,29619,MoA,Phase 1,Gene,Chemical_Compound
15354,29621,MoA,Preclinical,Gene,Chemical_Compound
6730,29625,MoA,Launched,Gene,Chemical_Compound
2942,29625,MoA,Launched,Gene,Chemical_Compound
11857,29625,MoA,Launched,Gene,Chemical_Compound
29626,29625,MoA,Launched,Gene,Chemical_Compound
29627,29625,MoA,Launched,Gene,Chemical_Compound
3679,29625,MoA,Launched,Gene,Chemical_Compound
26412,29625,MoA,Launched,Gene,Chemical_Compound
11512,29625,MoA,Launched,Gene,Chemical_Compound
9945,29625,MoA,Launched,Gene,Chemical_Compound
14817,29625,MoA,Launched,Gene,Chemical_Compound
12703,29625,MoA,Launched,Gene,Chemical_Compound
2835,29625,MoA,Launched,Gene,Chemical_Compound
4757,29625,MoA,Launched,Gene,Chemical_Compound
6901,29734,MoA,Phase 1,Gene,Chemical_Compound
4522,29734,MoA,Phase 1,Gene,Chemical_Compound
25544,29937,MoA,Preclinical,Gene,Chemical_Compound
25518,29937,MoA,Preclinical,Gene,Chemical_Compound
25722,29938,MoA,Preclinical,Gene,Chemical_Compound
27357,29944,MoA,Launched,Gene,Chemical_Compound
25646,29967,MoA,Preclinical,Gene,Chemical_Compound
25648,29967,MoA,Preclinical,Gene,Chemical_Compound
26652,29967,MoA,Preclinical,Gene,Chemical_Compound
26653,29967,MoA,Preclinical,Gene,Chemical_Compound
26582,29967,MoA,Preclinical,Gene,Chemical_Compound
25623,29967,MoA,Preclinical,Gene,Chemical_Compound
11142,29967,MoA,Preclinical,Gene,Chemical_Compound
26048,29967,MoA,Preclinical,Gene,Chemical_Compound
15745,29967,MoA,Preclinical,Gene,Chemical_Compound
3034,29967,MoA,Preclinical,Gene,Chemical_Compound
5354,29967,MoA,Preclinical,Gene,Chemical_Compound
10825,29967,MoA,Preclinical,Gene,Chemical_Compound
27641,29967,MoA,Preclinical,Gene,Chemical_Compound
26916,30010,MoA,Launched,Gene,Chemical_Compound
5008,30010,MoA,Launched,Gene,Chemical_Compound
13791,30010,MoA,Launched,Gene,Chemical_Compound
30011,30010,MoA,Launched,Gene,Chemical_Compound
9652,30010,MoA,Launched,Gene,Chemical_Compound
30012,30010,MoA,Launched,Gene,Chemical_Compound
14975,30010,MoA,Launched,Gene,Chemical_Compound
8094,30010,MoA,Launched,Gene,Chemical_Compound
7185,30010,MoA,Launched,Gene,Chemical_Compound
6651,30010,MoA,Launched,Gene,Chemical_Compound
7415,30010,MoA,Launched,Gene,Chemical_Compound
7641,30010,MoA,Launched,Gene,Chemical_Compound
9683,30010,MoA,Launched,Gene,Chemical_Compound
15004,30010,MoA,Launched,Gene,Chemical_Compound
15459,30010,MoA,Launched,Gene,Chemical_Compound
2549,30010,MoA,Launched,Gene,Chemical_Compound
16038,30010,MoA,Launched,Gene,Chemical_Compound
30013,30010,MoA,Launched,Gene,Chemical_Compound
30014,30010,MoA,Launched,Gene,Chemical_Compound
5812,30010,MoA,Launched,Gene,Chemical_Compound
13248,30010,MoA,Launched,Gene,Chemical_Compound
2884,30010,MoA,Launched,Gene,Chemical_Compound
7687,30010,MoA,Launched,Gene,Chemical_Compound
8780,30010,MoA,Launched,Gene,Chemical_Compound
30015,30010,MoA,Launched,Gene,Chemical_Compound
14997,30010,MoA,Launched,Gene,Chemical_Compound
28392,30021,MoA,Launched,Gene,Chemical_Compound
9935,30021,MoA,Launched,Gene,Chemical_Compound
30022,30021,MoA,Launched,Gene,Chemical_Compound
26071,30021,MoA,Launched,Gene,Chemical_Compound
27666,30206,MoA,Launched,Gene,Chemical_Compound
8955,30362,MoA,Launched,Gene,Chemical_Compound
15820,30362,MoA,Launched,Gene,Chemical_Compound
15486,30362,MoA,Launched,Gene,Chemical_Compound
15973,30362,MoA,Launched,Gene,Chemical_Compound
29342,30362,MoA,Launched,Gene,Chemical_Compound
11857,30431,MoA,Launched,Gene,Chemical_Compound
4313,30431,MoA,Launched,Gene,Chemical_Compound
12212,30437,MoA,Phase 3,Gene,Chemical_Compound
2925,30465,MoA,Preclinical,Gene,Chemical_Compound
26916,30465,MoA,Preclinical,Gene,Chemical_Compound
2742,30675,MoA,Phase 2,Gene,Chemical_Compound
30291,30675,MoA,Phase 2,Gene,Chemical_Compound
8143,30690,MoA,Phase 2,Gene,Chemical_Compound
26607,30690,MoA,Phase 2,Gene,Chemical_Compound
26608,30690,MoA,Phase 2,Gene,Chemical_Compound
26609,30690,MoA,Phase 2,Gene,Chemical_Compound
26610,30690,MoA,Phase 2,Gene,Chemical_Compound
26611,30690,MoA,Phase 2,Gene,Chemical_Compound
9579,30690,MoA,Phase 2,Gene,Chemical_Compound
26612,30690,MoA,Phase 2,Gene,Chemical_Compound
26613,30690,MoA,Phase 2,Gene,Chemical_Compound
26614,30690,MoA,Phase 2,Gene,Chemical_Compound
26615,30690,MoA,Phase 2,Gene,Chemical_Compound
26616,30690,MoA,Phase 2,Gene,Chemical_Compound
26617,30690,MoA,Phase 2,Gene,Chemical_Compound
26618,30690,MoA,Phase 2,Gene,Chemical_Compound
5740,30690,MoA,Phase 2,Gene,Chemical_Compound
26619,30690,MoA,Phase 2,Gene,Chemical_Compound
26620,30690,MoA,Phase 2,Gene,Chemical_Compound
26621,30690,MoA,Phase 2,Gene,Chemical_Compound
26622,30690,MoA,Phase 2,Gene,Chemical_Compound
26623,30690,MoA,Phase 2,Gene,Chemical_Compound
26624,30690,MoA,Phase 2,Gene,Chemical_Compound
27801,30716,MoA,Phase 1,Gene,Chemical_Compound
30724,30725,MoA,Preclinical,Gene,Chemical_Compound
14600,30740,MoA,Preclinical,Gene,Chemical_Compound
30741,30740,MoA,Preclinical,Gene,Chemical_Compound
26318,30740,MoA,Preclinical,Gene,Chemical_Compound
3491,30750,MoA,Preclinical,Gene,Chemical_Compound
3265,30750,MoA,Preclinical,Gene,Chemical_Compound
30751,30750,MoA,Preclinical,Gene,Chemical_Compound
30752,30750,MoA,Preclinical,Gene,Chemical_Compound
7351,30768,MoA,Preclinical,Gene,Chemical_Compound
27292,30781,MoA,Preclinical,Gene,Chemical_Compound
27351,30804,MoA,Preclinical,Gene,Chemical_Compound
27588,30804,MoA,Preclinical,Gene,Chemical_Compound
