FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay
41182,32845,-0.4747464021,wilcox_effsize,hWAT,D14
41183,32845,0.4704694075,wilcox_effsize,hWAT,D14
41184,32845,-0.4661924129,wilcox_effsize,hWAT,D14
41185,32845,-0.4661924129,wilcox_effsize,hWAT,D14
41186,32845,0.4661924129,wilcox_effsize,hWAT,D14
41187,32845,-0.4662142809,wilcox_effsize,hWAT,D14
41188,32845,0.4533614291,wilcox_effsize,hWAT,D14
41189,32845,-0.4533614291,wilcox_effsize,hWAT,D14
41190,32845,-0.4620888425,wilcox_effsize,hWAT,D14
41191,32845,-0.4490844345,wilcox_effsize,hWAT,D14
41089,32845,-0.4490844345,wilcox_effsize,hWAT,D14
41192,32845,0.4490844345,wilcox_effsize,hWAT,D14
41193,32845,0.4577243087,wilcox_effsize,hWAT,D14
41194,32845,-0.4448074398,wilcox_effsize,hWAT,D14
41195,32845,-0.4448074398,wilcox_effsize,hWAT,D14
41196,32845,0.4405304452,wilcox_effsize,hWAT,D14
41197,32845,0.431976456,wilcox_effsize,hWAT,D14
41198,32845,-0.431976456,wilcox_effsize,hWAT,D14
41199,32845,-0.431976456,wilcox_effsize,hWAT,D14
41095,32845,0.4384125118,wilcox_effsize,hWAT,D14
41200,32845,-0.4276994614,wilcox_effsize,hWAT,D14
41201,32845,-0.4276994614,wilcox_effsize,hWAT,D14
41084,32845,-0.4276994614,wilcox_effsize,hWAT,D14
41202,32845,0.431996719,wilcox_effsize,hWAT,D14
41203,32845,0.4234224668,wilcox_effsize,hWAT,D14
41076,32845,0.4191454722,wilcox_effsize,hWAT,D14
41204,32845,-0.4191454722,wilcox_effsize,hWAT,D14
41205,32845,-0.4170265357,wilcox_effsize,hWAT,D14
41206,32845,-0.4105914829,wilcox_effsize,hWAT,D14
41207,32845,-0.414887938,wilcox_effsize,hWAT,D14
41208,32845,-0.4063144883,wilcox_effsize,hWAT,D14
41209,32845,0.4063144883,wilcox_effsize,hWAT,D14
41210,32845,0.3934835045,wilcox_effsize,hWAT,D14
41211,32845,0.3956405595,wilcox_effsize,hWAT,D14
41121,32845,-0.3892065099,wilcox_effsize,hWAT,D14
41212,32845,0.3892065099,wilcox_effsize,hWAT,D14
41213,32845,0.3849295152,wilcox_effsize,hWAT,D14
41214,32845,-0.3849295152,wilcox_effsize,hWAT,D14
41215,32845,0.3849295152,wilcox_effsize,hWAT,D14
41075,32845,0.3849295152,wilcox_effsize,hWAT,D14
41216,32845,0.3849295152,wilcox_effsize,hWAT,D14
41217,32845,0.3892247666,wilcox_effsize,hWAT,D14
41218,32845,0.387086169,wilcox_effsize,hWAT,D14
41219,32845,0.3806525206,wilcox_effsize,hWAT,D14
41220,32845,-0.376375526,wilcox_effsize,hWAT,D14
41221,32845,0.376375526,wilcox_effsize,hWAT,D14
41222,32845,-0.3720985314,wilcox_effsize,hWAT,D14
41223,32845,-0.3678215368,wilcox_effsize,hWAT,D14
41096,32845,-0.3678215368,wilcox_effsize,hWAT,D14
41224,32845,-0.3635445422,wilcox_effsize,hWAT,D14
41225,32845,-0.3635445422,wilcox_effsize,hWAT,D14
41226,32845,-0.3678387904,wilcox_effsize,hWAT,D14
41082,32845,0.3635445422,wilcox_effsize,hWAT,D14
41227,32845,-0.3635445422,wilcox_effsize,hWAT,D14
41228,32845,-0.3592675476,wilcox_effsize,hWAT,D14
41229,32845,-0.3592675476,wilcox_effsize,hWAT,D14
41081,32845,-0.3592675476,wilcox_effsize,hWAT,D14
41230,32845,0.3549905529,wilcox_effsize,hWAT,D14
41111,32845,-0.3507135583,wilcox_effsize,hWAT,D14
41231,32845,-0.3464365637,wilcox_effsize,hWAT,D14
41232,32845,-0.3464365637,wilcox_effsize,hWAT,D14
41233,32845,-0.3464528142,wilcox_effsize,hWAT,D14
41234,32845,-0.3421595691,wilcox_effsize,hWAT,D14
41235,32845,-0.3421595691,wilcox_effsize,hWAT,D14
41236,32845,-0.3421595691,wilcox_effsize,hWAT,D14
41085,32845,0.3378825745,wilcox_effsize,hWAT,D14
41237,32845,0.3293285853,wilcox_effsize,hWAT,D14
41238,32845,-0.3293285853,wilcox_effsize,hWAT,D14
41239,32845,0.3293285853,wilcox_effsize,hWAT,D14
41130,32845,0.3272054357,wilcox_effsize,hWAT,D14
41240,32845,-0.325066838,wilcox_effsize,hWAT,D14
41241,32845,-0.320774596,wilcox_effsize,hWAT,D14
41242,32845,0.320774596,wilcox_effsize,hWAT,D14
41243,32845,-0.3164976014,wilcox_effsize,hWAT,D14
41090,32845,0.3164976014,wilcox_effsize,hWAT,D14
41244,32845,-0.3164976014,wilcox_effsize,hWAT,D14
41245,32845,-0.3122206068,wilcox_effsize,hWAT,D14
41246,32845,-0.3122206068,wilcox_effsize,hWAT,D14
41247,32845,-0.3122206068,wilcox_effsize,hWAT,D14
41248,32845,-0.3122206068,wilcox_effsize,hWAT,D14
41114,32845,-0.3122206068,wilcox_effsize,hWAT,D14
41249,32845,0.3079436122,wilcox_effsize,hWAT,D14
41250,32845,0.3079436122,wilcox_effsize,hWAT,D14
41251,32845,-0.3079436122,wilcox_effsize,hWAT,D14
41252,32845,-0.310111202,wilcox_effsize,hWAT,D14
41253,32845,-0.3079436122,wilcox_effsize,hWAT,D14
41254,32845,-0.3079436122,wilcox_effsize,hWAT,D14
41255,32845,0.3079436122,wilcox_effsize,hWAT,D14
41256,32845,0.3036666176,wilcox_effsize,hWAT,D14
41257,32845,0.299389623,wilcox_effsize,hWAT,D14
41258,32845,0.2994036666,wilcox_effsize,hWAT,D14
41259,32845,-0.2951126284,wilcox_effsize,hWAT,D14
41260,32845,-0.2908356337,wilcox_effsize,hWAT,D14
41261,32845,-0.2908356337,wilcox_effsize,hWAT,D14
41262,32845,-0.2887106785,wilcox_effsize,hWAT,D14
