FromID,ToID,Relation_type
29321,8714,ORorBETA
29321,8715,ORorBETA
29321,8716,ORorBETA
29321,8717,ORorBETA
29321,8718,ORorBETA
29321,8719,ORorBETA
29321,8720,ORorBETA
29321,8721,ORorBETA
29321,8722,ORorBETA
29321,8723,ORorBETA
29321,8724,ORorBETA
29321,8725,ORorBETA
29321,8726,ORorBETA
29321,8727,ORorBETA
29321,8728,ORorBETA
29321,8729,ORorBETA
29321,8730,ORorBETA
29321,8731,ORorBETA
29321,8732,ORorBETA
29321,8733,ORorBETA
29321,8734,ORorBETA
29321,7711,ORorBETA
29321,8735,ORorBETA
29321,8736,ORorBETA
29321,8737,ORorBETA
29321,8738,ORorBETA
29321,8739,ORorBETA
29321,8740,ORorBETA
29321,8741,ORorBETA
29321,8742,ORorBETA
29321,8743,ORorBETA
29321,8744,ORorBETA
29321,8745,ORorBETA
29321,8746,ORorBETA
29321,8747,ORorBETA
29321,8748,ORorBETA
29321,8749,ORorBETA
29321,8750,ORorBETA
29321,8751,ORorBETA
29321,8752,ORorBETA
29321,8753,ORorBETA
29321,8754,ORorBETA
29321,8755,ORorBETA
29321,8756,ORorBETA
29321,8757,ORorBETA
29321,8758,ORorBETA
29321,8759,ORorBETA
29321,8760,ORorBETA
29321,8761,ORorBETA
29321,8762,ORorBETA
29327,8763,ORorBETA
29327,8764,ORorBETA
29327,8765,ORorBETA
29327,8766,ORorBETA
29327,8529,ORorBETA
29412,8989,ORorBETA
29413,8989,ORorBETA
29415,7467,ORorBETA
29415,8992,ORorBETA
29412,7467,ORorBETA
29412,8992,ORorBETA
29424,9009,ORorBETA
29434,9077,ORorBETA
29435,9077,ORorBETA
29321,9122,ORorBETA
29321,9123,ORorBETA
29321,9124,ORorBETA
29321,9125,ORorBETA
29321,9126,ORorBETA
29321,9127,ORorBETA
29321,9128,ORorBETA
29321,9129,ORorBETA
29321,9130,ORorBETA
29321,9131,ORorBETA
29321,9132,ORorBETA
29321,9133,ORorBETA
29321,9134,ORorBETA
29321,9135,ORorBETA
29321,9136,ORorBETA
29321,9137,ORorBETA
29321,9138,ORorBETA
29321,9139,ORorBETA
29321,9140,ORorBETA
29321,9141,ORorBETA
29321,9142,ORorBETA
29321,9143,ORorBETA
29321,9144,ORorBETA
29321,9145,ORorBETA
29321,9146,ORorBETA
29321,9147,ORorBETA
29321,9148,ORorBETA
29321,9149,ORorBETA
29321,9150,ORorBETA
29321,9151,ORorBETA
29321,9152,ORorBETA
29321,9153,ORorBETA
29321,9154,ORorBETA
29321,9155,ORorBETA
29321,9156,ORorBETA
29321,9157,ORorBETA
29321,9158,ORorBETA
29321,9159,ORorBETA
29321,9160,ORorBETA
29321,9161,ORorBETA
29321,9162,ORorBETA
29321,9163,ORorBETA
29321,9164,ORorBETA
29321,9165,ORorBETA
29321,9166,ORorBETA
29321,9167,ORorBETA
29321,9168,ORorBETA
29321,9169,ORorBETA
29321,9170,ORorBETA
29321,9171,ORorBETA
29321,9172,ORorBETA
29321,9173,ORorBETA
29321,9174,ORorBETA
29321,9175,ORorBETA
29321,9176,ORorBETA
29321,9177,ORorBETA
29321,9178,ORorBETA
29321,9179,ORorBETA
29321,9180,ORorBETA
29321,9181,ORorBETA
29321,9182,ORorBETA
29321,9183,ORorBETA
29321,9184,ORorBETA
29321,9185,ORorBETA
29321,9186,ORorBETA
29321,9187,ORorBETA
29321,9188,ORorBETA
29321,9189,ORorBETA
29321,9190,ORorBETA
29321,9191,ORorBETA
29321,9192,ORorBETA
29321,9193,ORorBETA
29321,9194,ORorBETA
29321,9195,ORorBETA
29321,9196,ORorBETA
29321,9197,ORorBETA
29321,9198,ORorBETA
29321,9199,ORorBETA
29321,9200,ORorBETA
29321,9201,ORorBETA
29321,9202,ORorBETA
29321,9203,ORorBETA
29321,9204,ORorBETA
29321,9205,ORorBETA
29321,9206,ORorBETA
29321,9207,ORorBETA
29321,9208,ORorBETA
29321,9209,ORorBETA
29321,9210,ORorBETA
29321,9211,ORorBETA
29321,9212,ORorBETA
29321,9213,ORorBETA
29321,9214,ORorBETA
29321,9215,ORorBETA
29321,9216,ORorBETA
29321,9217,ORorBETA
29321,9218,ORorBETA
29321,9219,ORorBETA
29321,9220,ORorBETA
29321,9221,ORorBETA
29321,9222,ORorBETA
29321,9223,ORorBETA
29321,9224,ORorBETA
29321,9225,ORorBETA
29321,9226,ORorBETA
29321,9227,ORorBETA
29321,9228,ORorBETA
29321,9229,ORorBETA
29321,9230,ORorBETA
29321,9231,ORorBETA
29321,9232,ORorBETA
29321,9233,ORorBETA
29321,9234,ORorBETA
29321,9235,ORorBETA
29321,9236,ORorBETA
29321,9237,ORorBETA
29321,9238,ORorBETA
29321,9239,ORorBETA
29321,9240,ORorBETA
29321,9241,ORorBETA
29321,9242,ORorBETA
29321,9243,ORorBETA
29321,9244,ORorBETA
29321,9245,ORorBETA
29321,9246,ORorBETA
29321,9247,ORorBETA
29321,9248,ORorBETA
29321,9249,ORorBETA
29321,9250,ORorBETA
29321,9251,ORorBETA
29321,9252,ORorBETA
29321,9253,ORorBETA
29321,9254,ORorBETA
29321,9255,ORorBETA
29321,9256,ORorBETA
29321,9257,ORorBETA
29321,9258,ORorBETA
29321,9259,ORorBETA
29321,9260,ORorBETA
29321,9261,ORorBETA
29321,9262,ORorBETA
29321,9263,ORorBETA
29321,9264,ORorBETA
29321,9265,ORorBETA
29321,9266,ORorBETA
29321,9267,ORorBETA
29321,9268,ORorBETA
29321,9269,ORorBETA
29321,9270,ORorBETA
29321,9271,ORorBETA
29321,9272,ORorBETA
29321,9273,ORorBETA
29321,9274,ORorBETA
29321,9275,ORorBETA
29321,9276,ORorBETA
29321,9277,ORorBETA
29321,9278,ORorBETA
29321,9279,ORorBETA
29321,9280,ORorBETA
29321,9281,ORorBETA
29321,9282,ORorBETA
29321,9283,ORorBETA
29321,9284,ORorBETA
29321,9285,ORorBETA
29321,9286,ORorBETA
29321,9287,ORorBETA
29321,9288,ORorBETA
29321,9289,ORorBETA
29321,9290,ORorBETA
29321,9291,ORorBETA
29321,9292,ORorBETA
29321,9293,ORorBETA
29321,9294,ORorBETA
29321,9295,ORorBETA
29321,9296,ORorBETA
29321,9297,ORorBETA
29321,9298,ORorBETA
29321,9299,ORorBETA
29321,9300,ORorBETA
29321,9301,ORorBETA
29321,9302,ORorBETA
29321,9314,ORorBETA
29321,9315,ORorBETA
29321,9316,ORorBETA
29321,9317,ORorBETA
29321,9318,ORorBETA
29321,9319,ORorBETA
29321,9320,ORorBETA
29321,9321,ORorBETA
29321,9322,ORorBETA
29321,9323,ORorBETA
29321,9324,ORorBETA
29321,9325,ORorBETA
29321,9326,ORorBETA
29321,9327,ORorBETA
29321,9328,ORorBETA
29321,9329,ORorBETA
29321,9330,ORorBETA
29321,9331,ORorBETA
29321,9332,ORorBETA
29321,9333,ORorBETA
29321,9334,ORorBETA
29321,9335,ORorBETA
29321,9336,ORorBETA
29321,9337,ORorBETA
29321,9338,ORorBETA
29321,9339,ORorBETA
29321,9340,ORorBETA
29321,9341,ORorBETA
29321,9342,ORorBETA
29321,9343,ORorBETA
29321,9344,ORorBETA
29321,9345,ORorBETA
29321,9346,ORorBETA
29321,9347,ORorBETA
29321,9348,ORorBETA
29321,9349,ORorBETA
29321,9350,ORorBETA
29321,9351,ORorBETA
29321,9352,ORorBETA
29321,9353,ORorBETA
29084,9370,ORorBETA
29084,9371,ORorBETA
29446,8875,ORorBETA
29446,6947,ORorBETA
29446,9450,ORorBETA
29447,9451,ORorBETA
29447,9449,ORorBETA
29447,8875,ORorBETA
29448,9452,ORorBETA
29448,9453,ORorBETA
29448,6947,ORorBETA
29450,9456,ORorBETA
29450,9457,ORorBETA
29447,9458,ORorBETA
29453,9490,ORorBETA
29321,9493,ORorBETA
29321,9494,ORorBETA
29321,9495,ORorBETA
29321,9496,ORorBETA
29321,9497,ORorBETA
29321,9498,ORorBETA
29321,9499,ORorBETA
29321,9500,ORorBETA
29321,9501,ORorBETA
29321,9502,ORorBETA
29321,9503,ORorBETA
29321,9504,ORorBETA
29321,9505,ORorBETA
29321,9506,ORorBETA
29321,9507,ORorBETA
29321,9508,ORorBETA
29321,9509,ORorBETA
29321,9510,ORorBETA
29321,9511,ORorBETA
29321,9512,ORorBETA
29321,9513,ORorBETA
29321,9514,ORorBETA
29321,9515,ORorBETA
29321,9516,ORorBETA
29321,9517,ORorBETA
29321,9518,ORorBETA
29321,9519,ORorBETA
29321,9520,ORorBETA
29321,9521,ORorBETA
29321,9522,ORorBETA
29321,9523,ORorBETA
29321,9524,ORorBETA
29321,9525,ORorBETA
29321,9526,ORorBETA
29321,9527,ORorBETA
29321,9528,ORorBETA
29321,9529,ORorBETA
29321,9530,ORorBETA
29321,9531,ORorBETA
29321,9532,ORorBETA
29321,9533,ORorBETA
29321,9534,ORorBETA
29321,9535,ORorBETA
29321,9536,ORorBETA
29321,9537,ORorBETA
29321,9538,ORorBETA
29321,9539,ORorBETA
29321,9540,ORorBETA
29321,9541,ORorBETA
29321,9542,ORorBETA
29321,9543,ORorBETA
29321,9544,ORorBETA
29321,9545,ORorBETA
29321,9546,ORorBETA
29321,9547,ORorBETA
29321,9548,ORorBETA
29321,9549,ORorBETA
29321,9550,ORorBETA
29321,9551,ORorBETA
29321,9552,ORorBETA
29321,9553,ORorBETA
29321,9554,ORorBETA
29321,9555,ORorBETA
29321,9556,ORorBETA
29321,9557,ORorBETA
29321,9558,ORorBETA
29321,9559,ORorBETA
29321,9560,ORorBETA
29321,9561,ORorBETA
29321,9562,ORorBETA
29321,9563,ORorBETA
29321,9564,ORorBETA
29321,9565,ORorBETA
29321,9566,ORorBETA
29321,9567,ORorBETA
29321,9568,ORorBETA
29321,9569,ORorBETA
29321,9570,ORorBETA
29321,9571,ORorBETA
29321,9572,ORorBETA
29321,9573,ORorBETA
29321,9574,ORorBETA
29321,9575,ORorBETA
29321,9576,ORorBETA
29321,9577,ORorBETA
29321,9578,ORorBETA
29321,9579,ORorBETA
29321,9580,ORorBETA
29321,9581,ORorBETA
29321,9582,ORorBETA
29321,9583,ORorBETA
29321,9584,ORorBETA
29321,9585,ORorBETA
29321,9586,ORorBETA
29321,9587,ORorBETA
29321,9588,ORorBETA
29321,9589,ORorBETA
29321,9590,ORorBETA
29321,9591,ORorBETA
29321,9592,ORorBETA
29321,9593,ORorBETA
29321,9594,ORorBETA
29321,9595,ORorBETA
29321,9596,ORorBETA
29321,9597,ORorBETA
29321,9598,ORorBETA
29321,9599,ORorBETA
29321,9600,ORorBETA
29321,9601,ORorBETA
29321,9602,ORorBETA
29461,9617,ORorBETA
29463,9621,ORorBETA
29464,9622,ORorBETA
29465,9623,ORorBETA
29478,9697,ORorBETA
29479,9697,ORorBETA
29479,9699,ORorBETA
29481,6595,ORorBETA
29481,6591,ORorBETA
29481,6634,ORorBETA
29485,9722,ORorBETA
29486,9724,ORorBETA
29486,9725,ORorBETA
29490,9727,ORorBETA
29488,9727,ORorBETA
29493,9735,ORorBETA
29321,9769,ORorBETA
29321,9770,ORorBETA
29321,9771,ORorBETA
29321,9772,ORorBETA
29321,9773,ORorBETA
29321,9774,ORorBETA
29321,9775,ORorBETA
29321,9776,ORorBETA
29321,9777,ORorBETA
29321,9778,ORorBETA
29321,9779,ORorBETA
29321,9780,ORorBETA
29321,9781,ORorBETA
29321,9782,ORorBETA
29321,9783,ORorBETA
29321,9784,ORorBETA
29321,9785,ORorBETA
29321,9786,ORorBETA
29321,9787,ORorBETA
29321,9788,ORorBETA
29321,9789,ORorBETA
29321,9790,ORorBETA
29321,9791,ORorBETA
29321,9792,ORorBETA
29321,9793,ORorBETA
29321,9794,ORorBETA
29321,9795,ORorBETA
29321,9796,ORorBETA
29321,9797,ORorBETA
29321,9798,ORorBETA
29321,9799,ORorBETA
29321,9800,ORorBETA
29321,9801,ORorBETA
29321,9802,ORorBETA
29321,9803,ORorBETA
29321,9804,ORorBETA
29321,9805,ORorBETA
29321,9806,ORorBETA
29321,9807,ORorBETA
29321,9808,ORorBETA
29321,9809,ORorBETA
29321,9810,ORorBETA
29321,9811,ORorBETA
29321,9812,ORorBETA
29321,9813,ORorBETA
29321,9814,ORorBETA
29321,9815,ORorBETA
29321,9816,ORorBETA
29321,9817,ORorBETA
29321,9818,ORorBETA
29321,9819,ORorBETA
29321,9820,ORorBETA
29321,9821,ORorBETA
29321,9822,ORorBETA
