FromID,ToID,Relation_value,Relation_type
40312,28629,0.0197511,ORorBETA
40312,17486,0.0338966,ORorBETA
40312,23262,0.0239755,ORorBETA
40312,28630,0.032993,ORorBETA
40312,28634,0.0199471,ORorBETA
40312,28635,0.0181221,ORorBETA
40312,28636,0.020395,ORorBETA
40312,26948,0.0267548,ORorBETA
40312,7280,0.0223747,ORorBETA
40312,23767,0.0215495,ORorBETA
40312,28637,0.0193434,ORorBETA
40312,28638,0.0235486,ORorBETA
40312,28639,0.0250366,ORorBETA
40312,28640,0.0225553,ORorBETA
40312,23764,0.0208071,ORorBETA
40312,28641,0.020396,ORorBETA
40312,23765,0.0282671,ORorBETA
40312,28642,0.0178254,ORorBETA
40312,28643,0.0184135,ORorBETA
40312,23469,0.0236629,ORorBETA
40312,14611,0.0307534,ORorBETA
40312,28644,0.0200639,ORorBETA
40312,11087,0.026286,ORorBETA
40312,28646,0.0211047,ORorBETA
40312,26536,0.0202192,ORorBETA
40312,28647,0.0191683,ORorBETA
40312,28648,0.0317239,ORorBETA
40312,28649,0.0256417,ORorBETA
40312,28650,0.038083,ORorBETA
40312,28651,0.0194989,ORorBETA
40312,28652,0.0218335,ORorBETA
40312,16955,0.0202353,ORorBETA
40312,28653,0.0239683,ORorBETA
40312,28655,0.0252092,ORorBETA
40312,28656,0.0199067,ORorBETA
40312,12059,0.0311282,ORorBETA
40312,16123,0.0185153,ORorBETA
40312,28657,0.0233694,ORorBETA
40312,23131,0.0204362,ORorBETA
40312,28658,0.0350697,ORorBETA
40312,28659,0.0227309,ORorBETA
40312,28660,0.0246712,ORorBETA
40312,28661,0.0228214,ORorBETA
40312,28662,0.0247626,ORorBETA
40312,28663,0.0196747,ORorBETA
40312,28664,0.0193068,ORorBETA
40312,28665,0.0207136,ORorBETA
40312,28666,0.0334393,ORorBETA
40312,23140,0.0275913,ORorBETA
40312,28667,0.0221455,ORorBETA
40312,9399,0.027207,ORorBETA
40312,28668,0.0253256,ORorBETA
40312,28669,0.033269,ORorBETA
40312,23142,0.027395,ORorBETA
40312,23768,0.0267883,ORorBETA
40312,23592,0.0221737,ORorBETA
40312,23593,0.0198497,ORorBETA
40312,28670,0.0279053,ORorBETA
40312,23596,0.0168982,ORorBETA
40312,28671,0.035895,ORorBETA
40312,23599,0.0235806,ORorBETA
40312,28672,0.0258625,ORorBETA
40312,11603,0.0200045,ORorBETA
40312,23274,0.0251493,ORorBETA
40312,23601,0.0207461,ORorBETA
40312,28673,0.0250208,ORorBETA
40312,23758,0.0235741,ORorBETA
40312,23602,0.0281143,ORorBETA
40312,28674,0.0243391,ORorBETA
40312,23598,0.0240282,ORorBETA
40312,28675,0.0213529,ORorBETA
40312,28680,0.0176601,ORorBETA
40312,25927,0.0191499,ORorBETA
40312,28681,0.0301472,ORorBETA
40312,27260,0.0340884,ORorBETA
40312,28682,0.0190761,ORorBETA
40312,28684,0.0450129,ORorBETA
40312,28685,0.0223225,ORorBETA
40312,26162,0.0245224,ORorBETA
40312,28686,0.0200788,ORorBETA
40312,28687,0.0216459,ORorBETA
40312,28688,0.029003,ORorBETA
40312,23207,0.0341768,ORorBETA
